id_cliente,nome,email,data_nascimento,cpf,telefone
cdf6bfc6-7f94-4c2c-907e-f1dae34d2268,Asafe da Paz,azevedomaria-helena@example.org,1958-06-24,370.421.958-41,+55 61 2586-5900
dbb5a93a-2bee-46e7-9b70-99bd66bc5a82,Julia Leão,caue83@example.org,1987-10-15,987.041.532-60,61 5475-5139
93d5fc1a-05b3-4988-955a-ea2e00c8a91a,Natália Cavalcante,gabriel45@example.org,1972-01-27,904.351.678-39,0500 944 7684
697404cf-10d8-46e3-b193-0f29f087b9ee,Sara Sampaio,monteiroluiza@example.net,1960-12-28,768.491.053-10,(071) 6758 1154
8a3ab253-3fa4-44a1-872f-71324575c6ad,Rafael Castro,davi-luiz66@example.net,INVALIDO,031.572.468-44,+55 21 6989-5999
beb52bde-2575-4fbd-a55f-81d8a2f41a04,Dr. Gabriel da Cruz,,INVALIDO,486.751.903-01,0500-319-7142
644b9f8b-0625-43c7-9eb2-28320d4d0949,Helena Jesus,ida-mata@example.org,1986-03-24,894.173.062-78,+55 81 0552-3690
0ffbde72-71dd-4357-8b17-f40c2adf2785,Bianca Montenegro,abreubenjamin@example.com,1953-12-31,327.640.195-99,41 6905 4178
e7a676e1-c1b2-4e09-ae90-70897d675a8f,Cecilia Pereira,yansouza@example.org,1989-12-28,853.261.947-91,+55 11 4495 5966
4e86406e-9e21-4b2c-9a0b-8dc352987cf2,Emanuel Ramos,stella47@example.com,2001-03-29,374.068.512-35,(021) 8625-2536
e198a7c3-b0e5-4db8-83f1-bedf095ff93a,Luiza Silveira,larissamoraes@example.com,1994-01-04,253.186.904-24,61 8047-2974
4948625a-340b-4d65-baba-ee7fcabeab76,LUIZ MIGUEL DUARTE,zalmeida@example.net,1974-07-26,485.237.901-79,51 4365 8223
28f8facd-164f-4431-87ec-1516d96ac855,Miguel da Rosa,bruno10@example.org,1954-03-23,816.273.459-73,+55 81 9631 2258
8e9d5a3a-6289-483c-9103-651f93f7b165,Levi Marques,araujoallana@example.com,1982-11-19,782.513.490-79,+55 84 1642-7995
0a1cd771-0797-4d8a-8069-4a74415f0224,Raul Montenegro,diasmaya@example.com,2000-10-25,129.467.530-34,61 6367 0977
bd9961a6-8f64-4add-a8e9-741d54c59578,Maria Luiza Carvalho,ypinto@example.org,1985-09-12,341.267.859-73,(084) 2874 8064
03a937c0-019c-4b54-8fbe-f5f99dbda822,Dra. Ana Vitória Caldeira,,1989-03-03,359.021.874-60,51 6239 2186
2d5d8b77-0e87-4ad1-b532-9a1009e27fc9,Henry Leão,augusto40@example.net,1978-03-04,685.904.312-15,+55 84 4476 7512
7b26c9af-8c71-4a5d-b66c-6308bf51d27a,João Felipe Andrade,ribeirogabriela@example.com,INVALIDO,495.103.728-97,
0475d7c6-678e-4ce4-bf98-4a755c5e6058,João Guilherme da Rosa,pedro-lucascavalcante@example.net,1949-03-14,860.432.579-47,+55 41 1240-0231
57b92c5d-b48a-4204-abb1-73b989a11210,Beatriz Ramos,emilly41@example.com,2004-12-31,319.258.046-15,(021) 6916 6392
70000145-5da6-4b89-a94a-331ccb1ec1f1,Sr. João Lucas Silva,larissa37@example.com,INVALIDO,379.405.162-99,+55 11 1124-9488
40d81c76-78a4-404d-b8e2-24bd3a5f4843,Sr. Vinícius Barbosa,ottoda-cunha@example.org,1991-09-02,173.084.562-26,+55 41 8021-6113
89974408-2e36-41bd-8bce-9522ce21e031,Pietra Santos,,INVALIDO,210.964.537-70,0300 025 5711
bf2f1334-2f4f-4722-9639-56e3cbff7f53,Luiz Felipe Mendes,acardoso@example.org,1970-08-10,145.973.086-01,+55 31 3477-8101
8e1dd56c-f0aa-4cbe-8326-1aff4ae95f6a,Sr. Kevin Cunha,antonellateixeira@example.org,1990-02-04,963.810.425-24,+55 (021) 6853 1607
ecedd865-9989-437f-bb54-c53ea401f6e4,Sara Gonçalves,vitor-hugosousa@example.net,1978-04-01,546.083.972-65,+55 (011) 9918-6843
c5e63c83-d091-4018-a9a7-351d8e5ac49c,Rodrigo Siqueira,gabrielada-costa@example.net,1945-07-22,721.893.460-96,+55 71 4768-7455
57e136b9-97ef-4501-a764-1a3a3a4a222a,Theodoro da Rocha,lunnalima@example.net,1963-10-22,297.068.354-74,+55 (051) 2701-9880
691c5efc-941a-44e0-84d6-c052a2270ccd,Cauã Pastor,fvasconcelos@example.org,1973-09-08,192.754.068-20,+55 (081) 8938-0243
1addc4af-62e3-461a-b374-cd7b218dc7ae,Caroline Lopes,sfonseca@example.org,1955-01-22,394.268.071-87,(051) 5954-0707
e87d2118-575d-43f8-8314-f8cd7305c0f7,Ísis Freitas,maya45@example.com,1985-03-02,963.074.825-83,+55 (031) 9483-5588
a58126c4-d00c-49be-a593-090477db1eab,Sra. Sofia Moraes,elisagarcia@example.org,1950-10-13,513.407.689-84,(071) 8975-8708
3a89815b-f568-46a0-ba45-71366140633a,Leonardo Nogueira,xbarbosa@example.org,INVALIDO,963.208.714-31,61 3025 4673
5cee5d21-d9c0-467b-8bea-c551ce730d11,MARCOS VINICIUS ALBUQUERQUE,camargofelipe@example.org,1987-09-19,045.629.871-11,+55 31 3842-9908
40d28b83-2470-4444-a406-1e42bd88b6ff,Cecília Castro,andre25@example.org,1960-05-15,372.548.691-37,+55 31 1041 5600
225ec2a9-1333-4913-9c83-514f9076e73b,Rebeca Ferreira,novaeskaique@example.org,1998-08-20,186.305.492-89,
a76336f0-c8cc-4755-a4d3-e42b43e2e452,Srta. Heloísa Sousa,klopes@example.com,1961-11-19,726.104.853-44,(011) 8221 1970
00fe747b-f516-470f-ae62-94e0f17df10b,Dr. Luiz Otávio Cunha,nathan43@example.com,2004-02-24,836.205.791-21,41 8558 3004
d02bf824-3c9b-4af7-88e7-982c491f2d3d,Isaque Guerra,luiz-gustavo11@example.net,1994-11-25,120.693.475-16,+55 (061) 5574-2496
f15cdef9-c936-45b1-b7be-53ccda7b61a3,Henry Gabriel Gonçalves,rafaela31@example.com,1969-11-19,586.472.913-28,+55 61 0971-5400
30edd394-8c50-4435-abc7-9b2042cbc479,Ana Lopes,macedojoao-gabriel@example.com,1979-03-08,496.810.273-96,(051) 2569-2173
1d206f79-c696-451b-9c0f-e89f5b410e28,Cauê Pacheco,maria51@example.org,1991-12-07,354.680.729-47,+55 84 8823 1031
8ab28174-6021-412a-a50b-65b3e90d1b71,Valentim Mendonça,,1977-12-31,294.056.738-74,11 0773 2686
c840f573-1bea-4acc-97e2-6a1913b43876,Luiza Siqueira,marcos-vinicius85@example.org,2003-11-24,397.104.285-60,+55 11 1825 1015
980b57e3-2667-4f4d-aa1a-738e126da637,Isaque Vargas,mcasa-grande@example.org,1986-10-14,729.860.145-85,+55 41 5079-4860
8e134f6c-7ca8-45be-8d4c-cca3e3f8386a,SR. ARTHUR GABRIEL AZEVEDO,henrycorreia@example.net,1960-01-21,416.387.529-82,11 3970 0267
c14605e1-39b4-4764-a504-8f02dc5fd6ed,Ravy Sá,rfarias@example.net,INVALIDO,894.653.710-84,71 7180-9197
58d51234-78d7-4edf-8220-a1ae2d5f3ef8,Lucas da Costa,,INVALIDO,860.397.451-93,+55 (071) 2545-8917
740b993b-cf53-42aa-85b4-83ca2172ff31,Dr. Davi Lucas Melo,hpimenta@example.org,1972-03-25,317.402.895-79,+55 (051) 4283 7354
e623e107-d736-4eac-901e-10820fb2800c,Luiz Henrique Costela,aragaomathias@example.org,1968-05-24,578.902.613-30,
