ClienteId,Nome,Email
1,Felipe Souza,felipe.souza@gmail.com
2,Tatiane Costa,tatiane.costa@gmail.com
3,Larissa Rodrigues,larissa.rodrigues@gmail.com
4,Danilo Souza,danilo.souza@gmail.com
5,Lucas Costa,lucas.costa@gmail.com
6,Danilo Gomes,danilo.gomes@gmail.com
7,Gabriel Pereira,gabriel.pereira@gmail.com
8,Juliana Oliveira,juliana.oliveira@gmail.com
9,Danilo Lima,danilo.lima@gmail.com
10,Aline Costa,aline.costa@gmail.com
11,João Silva,joão.silva@gmail.com
12,Mateus Costa,mateus.costa@gmail.com
13,Eduardo Costa,eduardo.costa@gmail.com
14,Viviane Rodrigues,viviane.rodrigues@gmail.com
15,Eduardo Rodrigues,eduardo.rodrigues@gmail.com
16,Isabela Lima,isabela.lima@gmail.com
17,Carlos Gomes,carlos.gomes@gmail.com
18,Sabrina Rodrigues,sabrina.rodrigues@gmail.com
19,Paulo Souza,paulo.souza@gmail.com
20,Patrícia Nascimento,patrícia.nascimento@gmail.com
21,Eduardo Oliveira,eduardo.oliveira@gmail.com
22,Carlos Lima,carlos.lima@gmail.com
23,Bruno Almeida,bruno.almeida@gmail.com
24,Patrícia Souza,patrícia.souza@gmail.com
25,Sabrina Gomes,sabrina.gomes@gmail.com
26,Camila Lima,camila.lima@gmail.com
27,Mariana Rodrigues,mariana.rodrigues@gmail.com
28,Jéssica Silva,jéssica.silva@gmail.com
29,Paulo Silva,paulo.silva@gmail.com
30,Tatiane Costa,tatiane.costa@gmail.com
31,Danilo Gomes,danilo.gomes@gmail.com
32,Gustavo Lima,gustavo.lima@gmail.com
33,Carlos Oliveira,carlos.oliveira@gmail.com
34,Thiago Silva,thiago.silva@gmail.com
35,Amanda Gomes,amanda.gomes@gmail.com
36,Felipe Silva,felipe.silva@gmail.com
37,Mateus Oliveira,mateus.oliveira@gmail.com
38,Débora Oliveira,débora.oliveira@gmail.com
39,Fábio Gomes,fábio.gomes@gmail.com
40,Fábio Nascimento,fábio.nascimento@gmail.com
41,Débora Nascimento,débora.nascimento@gmail.com
42,Débora Souza,débora.souza@gmail.com
43,Juliana Costa,juliana.costa@gmail.com
44,Leandro Oliveira,leandro.oliveira@gmail.com
45,Thiago Souza,thiago.souza@gmail.com
46,João Rodrigues,joão.rodrigues@gmail.com
47,Larissa Lima,larissa.lima@gmail.com
48,Bruno Gomes,bruno.gomes@gmail.com
49,Beatriz Costa,beatriz.costa@gmail.com
50,Sabrina Costa,sabrina.costa@gmail.com
51,Leandro Almeida,leandro.almeida@gmail.com
52,Camila Gomes,camila.gomes@gmail.com
53,Lívia Silva,lívia.silva@gmail.com
54,Lucas Nascimento,lucas.nascimento@gmail.com
55,Beatriz Silva,beatriz.silva@gmail.com
56,André Rodrigues,andré.rodrigues@gmail.com
57,Patrícia Pereira,patrícia.pereira@gmail.com
58,Fábio Almeida,fábio.almeida@gmail.com
59,Thiago Almeida,thiago.almeida@gmail.com
60,Amanda Souza,amanda.souza@gmail.com
61,Roberto Gomes,roberto.gomes@gmail.com
62,Leandro Oliveira,leandro.oliveira@gmail.com
63,João Oliveira,joão.oliveira@gmail.com
64,Danilo Lima,danilo.lima@gmail.com
65,João Costa,joão.costa@gmail.com
66,Danilo Almeida,danilo.almeida@gmail.com
67,André Nascimento,andré.nascimento@gmail.com
68,Viviane Lima,viviane.lima@gmail.com
69,João Almeida,joão.almeida@gmail.com
70,Natália Gomes,natália.gomes@gmail.com
71,Larissa Silva,larissa.silva@gmail.com
72,Juliana Nascimento,juliana.nascimento@gmail.com
73,Viviane Oliveira,viviane.oliveira@gmail.com
74,Viviane Gomes,viviane.gomes@gmail.com
75,Débora Rodrigues,débora.rodrigues@gmail.com
76,Gustavo Silva,gustavo.silva@gmail.com
77,Beatriz Costa,beatriz.costa@gmail.com
78,Leandro Pereira,leandro.pereira@gmail.com
79,Maria Souza,maria.souza@gmail.com
80,João Silva,joão.silva@gmail.com
81,Thiago Pereira,thiago.pereira@gmail.com
82,Sabrina Gomes,sabrina.gomes@gmail.com
83,Ana Oliveira,ana.oliveira@gmail.com
84,Renata Pereira,renata.pereira@gmail.com
85,Carlos Nascimento,carlos.nascimento@gmail.com
86,Viviane Costa,viviane.costa@gmail.com
87,Sabrina Lima,sabrina.lima@gmail.com
88,Pedro Nascimento,pedro.nascimento@gmail.com
89,Carlos Costa,carlos.costa@gmail.com
90,Carlos Almeida,carlos.almeida@gmail.com
91,Paulo Costa,paulo.costa@gmail.com
92,Gabriel Gomes,gabriel.gomes@gmail.com
93,Viviane Oliveira,viviane.oliveira@gmail.com
94,Gustavo Almeida,gustavo.almeida@gmail.com
95,Marcelo Lima,marcelo.lima@gmail.com
96,Felipe Rodrigues,felipe.rodrigues@gmail.com
97,Sabrina Pereira,sabrina.pereira@gmail.com
98,Débora Rodrigues,débora.rodrigues@gmail.com
99,Renata Gomes,renata.gomes@gmail.com
100,Camila Costa,camila.costa@gmail.com
